Gene	fit_value	Predicted_Proximal_APA	Loci	209_1_CP	209_1_VZ	209_2_CP	209_2_VZ	209_3_CP	209_3_VZ	209_4_CP	209_4_VZ	334_1_CP	334_1_VZ	334_2_CP	334_2_VZ	334_3_CP	334_3_VZ	334_4_CP	334_4_VZ	336_1_CP	336_1_VZ	336_2_CP	336_2_VZ	336_3_CP	336_3_VZ	336_4_CP	336_4_VZ
NM_152742.3|GPC2|chr7|-	8.6	99767955	chr7:99767229-99768106	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001282716.1|STAG3|chr7|+	0.3	99811839	chr7:99811630-99812010	1	0.96	0.99	1	1	0.89	0.88	1	0.98	0.94	0.99	0.95	NA	0.95	0.9	0.99	1	1	NA	0.93	NA	1	0.86	NA
NM_001282718.2|STAG3|chr7|+	0.2	99811796	chr7:99811630-99812004	1	0.95	0.99	1	1	0.92	0.88	1	0.98	0.93	0.99	0.97	NA	0.94	0.92	0.98	1	1	NA	0.91	NA	1	0.9	NA
NR_028039.1|CASTOR3|chr7|-	6.3	99800075	chr7:99798276-99800226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.87
NR_166147.1|CASTOR3|chr7|-	6.3	99800075	chr7:99798281-99800226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.87
NR_028038.2|CASTOR3|chr7|-	128.8	99809466	chr7:99806559-99809617	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NR_003613.1|PMS2P1|chr7|-	0.1	99918363	chr7:99918263-99918514	1	NA	1	1	1	NA	0.96	NA	1	1	0.97	0.97	0.94	0.99	0.96	0.96	1	NA	0.85	NA	1	NA	1	NA
NR_036569.1|STAG3L5P-PVRIG2P-PILRB|chr7|+	15.6	99965338	chr7:99964972-99965454	0.85	0.88	0.87	0.89	0.87	0.87	0.85	0.84	0.87	0.89	0.8	0.83	0.86	0.86	0.89	0.88	0.79	0.87	0.84	0.84	0.89	0.85	0.82	0.88
NR_103728.1|PVRIG2P|chr7|+	28.4	99951147	chr7:99950996-99951559	0.66	0.65	0.7	0.73	0.56	0.77	0.69	0.76	0.82	0.79	0.74	0.86	0.81	0.83	0.84	0.84	0.68	0.75	0.6	0.68	0.73	0.85	0.83	0.72
NM_030935.5|TSC22D4|chr7|-	0.2	100064640	chr7:100064142-100064791	1	1	NA	1	NA	1	1	1	NA	1	NA	1	1	1	1	1	NA	1	NA	1	NA	1	NA	1
NM_173564.4|NYAP1|chr7|+	1.1	100091420	chr7:100091269-100092425	0.98	NA	1	NA	0.98	NA	1	NA	1	NA	0.99	1	1	NA	1	1	1	NA	1	NA	1	NA	1	NA
NM_001289933.2|ZASP|chr7|-	0.4	100172282	chr7:100171634-100172842	0.13	0.09	0.15	NA	0.34	NA	0.21	NA	0.38	0.21	0.46	0.22	0.29	0.3	0.34	0.29	0.25	0.27	0.34	0.26	0.17	0.28	0.15	0.24
NM_002319.5|LRCH4|chr7|-	0.4	100172282	chr7:100171634-100172927	0.13	0.09	0.15	NA	0.34	NA	0.21	NA	0.38	0.21	0.46	0.22	0.29	0.3	0.34	0.29	0.25	0.26	0.34	0.26	0.17	0.28	0.15	0.24
NM_001040097.2|MOSPD3|chr7|+	1.4	100212944	chr7:100212775-100213000	1	NA	1	NA	1	NA	1	NA	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_016188.5|ACTL6B|chr7|-	0.3	100240798	chr7:100240720-100240949	1	NA	1	NA	1	NA	1	NA	1	1	1	0.98	0.99	1	1	1	1	1	1	1	1	1	1	0.98
NM_005273.4|GNB2|chr7|+	0.8	100276469	chr7:100276318-100276792	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1
NM_001375759.1|GIGYF1|chr7|-	72.5	100278980	chr7:100277130-100279616	0.24	0.2	0.26	0.19	0.33	0.21	0.27	0.18	0.26	0.19	0.47	0.2	0.33	0.2	0.25	0.2	0.18	0.21	0.22	0.27	0.25	0.28	0.2	0.32
NM_001375767.1|GIGYF1|chr7|-	21.3	100278980	chr7:100277130-100279411	0.21	0.19	0.24	0.18	0.3	0.2	0.25	0.17	0.24	0.18	0.42	0.18	0.29	0.19	0.22	0.18	0.16	0.2	0.2	0.25	0.22	0.25	0.18	0.29
NM_001375765.1|GIGYF1|chr7|-	8.2	100278980	chr7:100277130-100279394	0.21	0.18	0.23	0.17	0.29	0.2	0.24	0.17	0.23	0.17	0.41	0.18	0.29	0.19	0.22	0.18	0.16	0.19	0.2	0.24	0.22	0.25	0.17	0.28
NM_005837.3|POP7|chr7|+	0.3	100304595	chr7:100304444-100305109	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	NA	0.95	1	1	1	1	1	0.99
NM_001363494.1|SLC12A9|chr7|+	2	100463492	chr7:100463341-100464634	1	NA	1	NA	1	NA	1	NA	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1
NM_020246.4|SLC12A9|chr7|+	2	100463492	chr7:100463341-100464632	1	NA	1	NA	1	NA	1	NA	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1
NM_003302.3|TRIP6|chr7|+	0.1	100471008	chr7:100470794-100471076	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.99	NA	1	NA	1	NA	1	NA	0.96	NA	1	NA	1
NM_001367917.1|ACHE|chr7|-	0.1	100487805	chr7:100487615-100487956	1	NA	0.99	NA	1	NA	1	NA	1	NA	1	NA	0.99	NA	1	NA	1	NA	1	NA	1	NA	1	NA
NM_001283.5|AP1S1|chr7|+	0.6	100804190	chr7:100803800-100804557	1	1	1	1	1	1	1	1	1	0.99	0.98	0.99	0.99	1	0.99	1	1	1	0.99	1	0.99	0.96	0.98	1
NM_001369695.1|NAT16|chr7|-	0.7	100815781	chr7:100813777-100815932	1	NA	1	NA	1	NA	1	NA	0.99	1	1	1	1	NA	1	1	0.98	1	NA	NA	NA	NA	1	1
NM_001084.5|PLOD3|chr7|-	0.3	100849566	chr7:100849265-100849717	1	NA	1	NA	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_006349.3|ZNHIT1|chr7|+	0	100867369	chr7:100867218-100867471	NA	NA	1	NA	NA	NA	NA	NA	NA	1	0.94	0.97	NA	1	1	1	NA	1	1	1	1	1	1	1
NM_014343.3|CLDN15|chr7|-	0	100875645	chr7:100875375-100875796	1	NA	1	NA	NA	NA	NA	NA	1	1	1	1	NA	NA	1	1	1	0.97	NA	NA	NA	NA	1	1
NM_016068.3|FIS1|chr7|-	0.2	100882894	chr7:100882753-100883184	0.77	NA	0.65	NA	0.63	NA	0.58	NA	0.82	0.66	0.38	0.3	0.43	0.2	0.38	0.34	0.45	0.63	0.19	0.19	0.24	0.4	0.45	0.53
NM_001287525.2|IFT22|chr7|-	27.9	100957617	chr7:100954620-100958563	0.25	NA	0.26	NA	0.24	NA	0.24	NA	0.21	0.21	0.18	0.17	0.23	0.17	0.18	0.16	0.23	0.25	0.16	0.2	0.17	0.25	0.18	0.25
NM_001287526.1|IFT22|chr7|-	16.3	100957781	chr7:100956648-100958563	0.52	NA	0.58	NA	0.56	NA	0.56	NA	0.54	0.48	0.51	0.4	0.46	0.42	0.42	0.34	0.5	0.64	0.4	0.37	0.39	0.55	0.38	0.51
NM_020979.5|SH2B2|chr7|+	1	101961917	chr7:101961766-101962178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1
NR_038967.1|LOC100630923|chr7|+	0.7	102065895	chr7:102065461-102067129	1	1	0.98	1	1	0.98	0.99	0.95	1	0.98	1	0.98	0.99	0.99	0.98	0.95	0.99	1	0.96	0.94	0.99	0.92	0.98	0.98
NM_024653.4|PRKRIP1|chr7|+	0.7	102065895	chr7:102065461-102067113	1	1	0.98	1	1	0.98	0.99	0.95	1	0.98	1	0.98	0.99	0.99	0.98	0.95	0.99	1	0.96	0.94	0.99	0.93	0.98	0.98
NM_032831.4|ORAI2|chr7|+	4.6	102089163	chr7:102086960-102096685	0.09	0.04	0.06	0.1	0.1	0.04	0.04	0.07	0.05	0.06	0.04	0.06	0.07	0.08	0.05	0.03	0.04	0.05	0.05	0.06	0.05	0.05	0.06	0.02
NM_152892.3|LRWD1|chr7|+	0.5	102113513	chr7:102113356-102113575	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1
NM_006234.6|POLR2J|chr7|-	2.2	102113909	chr7:102113615-102114131	0.51	0.48	0.52	NA	0.39	NA	0.44	0.02	0.49	0.56	0.43	0.36	0.47	0.27	0.22	0.3	0.53	0.35	0.33	0.2	0.33	0.42	0.35	0.4
NM_001367767.2|RASA4B|chr7|-	7.5	102123590	chr7:102120423-102124160	0.45	0.08	0.44	0.16	0.47	NA	0.34	NA	0.73	0.53	0.75	0.56	0.73	0.68	0.52	0.65	0.19	0.08	0.15	0.14	0.08	0.05	0.1	0.04
NM_001363506.1|UPK3BL2|chr7|-	2.7	102178701	chr7:102178366-102178972	0.79	NA	0.74	1	0.78	NA	0.82	NA	0.8	0.91	0.66	0.93	0.89	0.92	0.79	0.97	0.61	0.89	0.87	0.96	0.75	0.97	0.65	0.96
NM_032959.6|POLR2J2|chr7|-	7.4	102277471	chr7:102277195-102278080	0	0	0.03	0.01	0	NA	0.08	0.05	0.14	0.03	0.03	0.04	0.09	0.01	0.04	0	0.07	0.06	0.09	0.02	0.04	0.04	0.03	0.03
NM_001114403.3|UPK3BL1|chr7|-	2.8	102277806	chr7:102277472-102278080	1	1	0.92	0.91	0.89	NA	1	1	0.93	0.8	0.98	0.99	0.94	1	0.94	0.97	0.9	1	0.81	0.93	0.9	0.98	0.9	0.98
NM_001145269.2|FAM185A|chr7|+	3.5	102448888	chr7:102448737-102449672	0.65	NA	0.79	NA	0.77	NA	NA	NA	0.8	0.57	0.92	0.79	0.91	0.69	0.83	0.79	0.6	0.67	0.8	NA	NA	0.68	0.78	0.62
NM_001031692.3|LRRC17|chr7|+	0.7	102585342	chr7:102584657-102585558	0.94	0.89	0.9	NA	NA	NA	NA	NA	NA	0.87	NA	0.87	NA	0.86	0.92	0.93	NA	0.91	NA	0.94	NA	0.9	0.86	0.93
NM_001161013.3|ARMC10|chr7|+	11.1	102739626	chr7:102738746-102740206	0.91	0.87	0.89	0.77	0.89	0.75	0.84	0.74	0.83	0.66	0.8	0.78	0.81	0.83	0.77	0.77	0.83	0.89	0.76	0.76	0.81	0.94	0.82	0.87
NM_001204453.1|PSMC2|chr7|+	636.9	103002555	chr7:103002404-103002914	0.17	0.21	0.1	0.24	0.1	0.2	0.18	0.09	0.18	0.11	0.16	0.13	0.16	0.13	0.13	0.14	0.18	0.13	0.09	0.11	0.09	0.15	0.08	0.13
NM_002803.4|PSMC2|chr7|+	306	103008600	chr7:103008344-103009842	0.31	0.44	0.32	0.38	0.31	0.41	0.29	0.32	0.28	0.2	0.18	0.19	0.25	0.18	0.26	0.19	0.21	0.33	0.23	0.2	0.21	0.3	0.19	0.25
NM_001355530.2|EFCAB10|chr7|-	2535.8	105205723	chr7:105205571-105206062	0.01	0.03	0	0	0.01	0.03	0	0	0	0	0	0	0.01	0.01	0.01	0	0.02	0	0	0	0	0.01	0.01	0.01
NM_001355526.2|EFCAB10|chr7|-	0.2	105205723	chr7:105205571-105205894	0.01	0.02	0	0	0.01	0.02	0	0	0	0	0	0	0.01	0.01	0.01	0	0.01	0	0	0	0	0.01	0.01	0.01
NM_001318229.2|ATXN7L1|chr7|-	12.4	105254308	chr7:105253921-105255263	0.12	NA	0.22	NA	0.1	NA	0.21	NA	0.12	0.15	0.19	0.23	0.38	0.2	0.22	0	0.21	0.07	0.44	NA	0.35	NA	0.39	0.08
NM_001381911.1|SYPL1|chr7|-	1.7	105732234	chr7:105730951-105732385	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.98
NM_005295.3|GPR22|chr7|+	6.8	107115639	chr7:107114480-107116129	0.88	NA	0.88	NA	0.87	NA	0.83	NA	0.9	0.7	0.92	0.9	0.9	0.72	0.94	0.77	0.8	NA	0.79	NA	0.82	NA	0.76	0.92
NM_001371355.1|BCAP29|chr7|+	6.3	107262314	chr7:107262075-107263762	0.26	0.37	0.22	0.29	0.27	0.36	0.27	NA	0.27	0.35	0.39	0.27	0.36	0.28	0.27	0.36	0.31	0.4	0.41	0.22	0.26	0.48	0.32	0.5
NM_001371356.1|BCAP29|chr7|+	10.5	107259871	chr7:107258773-107260923	0.65	0.72	0.6	0.56	0.65	0.65	0.61	0.53	0.63	0.45	0.62	0.4	0.6	0.35	0.61	0.35	0.55	0.61	0.34	0.49	0.46	0.54	0.49	0.59
NM_001371357.1|BCAP29|chr7|+	0.1	107263027	chr7:107262876-107263762	1	NA	NA	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA
NR_028137.1|SLC26A4-AS1|chr7|-	30.1	107298155	chr7:107296961-107300651	0.2	NA	0.12	NA	0.2	NA	0.11	NA	0.15	NA	0.1	NA	0.08	NA	0.09	NA	0.14	NA	0.13	NA	0.09	NA	0.08	NA
NM_001284291.2|CBLL1|chr7|+	13.7	107400126	chr7:107398588-107402112	0.96	0.97	0.97	0.93	1	0.96	0.93	0.95	0.95	0.87	0.92	0.85	0.91	0.81	0.93	0.87	0.89	0.92	0.89	0.82	0.84	0.92	0.84	0.87
NM_001289750.1|DLD|chr7|+	626.5	107560409	chr7:107559639-107561643	0.19	0.25	0.2	0.26	0.22	0.19	0.17	0.26	0.27	0.07	0.23	0.06	0.2	0.08	0.23	0.09	0.12	0.12	0.1	0.1	0.12	0.12	0.09	0.12
NM_001130475.3|THAP5|chr7|-	17.7	108205047	chr7:108202576-108205549	NA	NA	1	NA	NA	NA	NA	NA	0.98	0.9	1	1	1	1	0.97	0.97	0.88	NA	NA	NA	NA	NA	NA	1
NM_182529.3|THAP5|chr7|-	17.7	108205047	chr7:108202588-108205549	NA	NA	1	NA	NA	NA	NA	NA	0.98	0.9	1	1	1	1	0.97	0.97	0.88	NA	NA	NA	NA	NA	NA	1
NM_012328.3|DNAJB9|chr7|+	46.1	108214826	chr7:108213343-108215294	0.65	0.7	0.66	0.72	0.69	0.82	0.66	0.65	0.63	0.61	0.68	0.61	0.65	0.62	0.66	0.64	0.7	0.69	0.54	0.61	0.63	0.72	0.66	0.69
NM_001287497.2|TMEM168|chr7|-	15.4	112405795	chr7:112402432-112407799	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.02	0.02	0.04	0.02	0.02	0.02	0.03	0.02	0.03	0.04	0.05	0.01	0.05	0.02	0.04	0.03	0.03
NM_001146266.2|GPR85|chr7|-	25.9	112723342	chr7:112722340-112724946	0.94	0.99	0.92	0.88	0.95	0.92	0.94	0.98	0.9	0.87	0.89	0.83	0.89	0.89	0.87	0.83	0.85	0.92	0.76	0.88	0.82	0.85	0.84	0.93
NM_001352687.2|SMIM30|chr7|-	0.1	112757298	chr7:112756773-112757662	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.97	NA	1	0.97	1	NA	1	1	1	NA	0.95	1	1
NM_198212.3|CAV2|chr7|+	1.1	116147725	chr7:116146025-116148595	0.31	NA	0.45	NA	NA	NA	0.28	0.16	NA	NA	0.4	0.34	NA	0.38	0.43	NA	NA	0.46	0.44	0.28	NA	0.24	NA	0.38
NM_001172895.1|CAV1|chr7|+	0.4	116199668	chr7:116199000-116201239	0.95	NA	1	NA	NA	NA	1	NA	0.75	NA	1	0.72	NA	0.84	NA	0.84	NA	NA	NA	NA	0.72	0.84	0.73	NA
NM_001753.5|CAV1|chr7|+	0.4	116199668	chr7:116199000-116201233	0.95	NA	1	NA	NA	NA	1	NA	0.75	NA	1	0.72	NA	0.84	NA	0.84	NA	NA	NA	NA	0.72	0.84	0.73	NA
NM_019071.3|ING3|chr7|+	20.5	120615330	chr7:120614782-120617270	0.26	0.09	0.19	0.04	0.18	0.04	0.24	0.09	0.23	0.15	0.17	0.13	0.14	0.21	0.17	0.15	0.22	0.1	0.03	0.1	0.15	0.09	0.23	0.08
NM_014888.3|FAM3C|chr7|-	7	120990063	chr7:120988932-120990604	1	0.98	1	0.99	1	0.98	1	1	0.99	0.98	0.99	0.97	0.99	0.97	0.98	0.98	0.99	0.99	0.99	1	0.98	0.96	0.99	0.97
NR_170281.1|WASL-DT|chr7|+	1.9	123390197	chr7:123389249-123391035	NA	NA	NA	NA	1	NA	NA	0.95	0.94	NA	0.94	0.93	NA	NA	0.89	0.9	NA	1	NA	NA	0.96	0.7	NA	0.91
NM_024523.6|GCC1|chr7|-	3.7	127223212	chr7:127220682-127223363	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001662.4|ARF5|chr7|+	0.2	127231429	chr7:127231267-127231754	1	NA	0.99	1	1	NA	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	0.99	0.99	1	1
NM_022143.5|LRRC4|chr7|-	22.1	127668253	chr7:127667124-127670793	0.34	NA	0.29	0.08	0.28	NA	0.22	NA	0.23	0.17	0.42	0.15	0.23	0.28	0.3	0.17	0.21	0.15	0.14	0.35	0.19	0.35	0.2	0.13
NM_018077.3|RBM28|chr7|-	43.2	127945556	chr7:127937738-127950984	0.27	0.12	0.15	0.21	0.16	0.22	NA	0.12	0.2	0.15	0.33	0.12	0.14	0.18	0.32	0.14	0.18	0.16	0.26	0.09	0.14	0.14	0.12	0.05
NM_001142573.2|IMPDH1|chr7|-	0.5	128032931	chr7:128032401-128033082	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001098786.2|HILPDA|chr7|+	4.1	128097963	chr7:128097255-128098472	0.66	0.94	NA	NA	NA	NA	0.69	NA	0.77	0.94	0.64	0.67	0.61	0.74	0.94	0.65	1	0.57	0.64	0.51	0.65	0.52	0.63	0.64
NM_018396.3|METTL2B|chr7|+	100.5	128142874	chr7:128141816-128146656	0.15	0.12	0.13	0.14	0.12	0.12	0.16	0.11	0.12	0.16	0.1	0.15	0.11	0.12	0.11	0.12	0.12	0.15	0.11	0.09	0.08	0.16	0.1	0.14
NM_001130674.3|CALU|chr7|+	47	128410630	chr7:128409117-128412539	0.06	0.06	0.09	0.05	0.05	0.04	0.09	0.06	0.1	0.04	0.08	0.03	0.05	0.04	0.08	0.04	0.04	0.05	0.07	0.05	0.06	0.04	0.03	0.04
NM_004231.4|ATP6V1F|chr7|+	0.1	128505582	chr7:128505431-128505901	1	NA	1	NA	1	NA	0.98	NA	1	1	1	1	0.99	0.99	1	1	1	1	1	1	1	1	0.97	1
NM_001195150.3|ATP6V1FNB|chr7|+	2.6	128508871	chr7:128508720-128512101	1	NA	NA	NA	1	NA	1	NA	1	NA	1	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA
NM_001382217.1|TNPO3|chr7|-	66.2	128595160	chr7:128594239-128595439	0.01	0	0.03	0.03	0.02	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.03	0.03	0.04	0.02	0.03	0.02	0.03
NM_001363701.1|ZC3HC1|chr7|-	0.3	129658421	chr7:129658126-129658572	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001282190.2|ZC3HC1|chr7|-	0.3	129658421	chr7:129658132-129658572	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001363478.2|TMEM209|chr7|-	1.5	129805926	chr7:129804553-129806345	0.85	0.81	0.91	0.87	0.93	0.85	0.9	0.83	0.92	0.72	0.85	0.75	0.76	0.58	0.79	0.77	0.61	0.79	0.69	0.82	0.54	0.78	0.46	0.76
NM_018718.3|CEP41|chr7|-	8.5	130037374	chr7:130033612-130038880	0.03	0.03	0.05	0.04	0.03	0.03	0.06	0.03	0.04	0.02	0.03	0.02	0.04	0.04	0.05	0.03	0.05	0.01	0.01	0.04	0.05	0.05	0.02	0.03
NM_001253901.1|MEST|chr7|+	48.9	130145214	chr7:130144780-130146079	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	0.99	1
NM_002402.4|MEST|chr7|+	48.9	130145214	chr7:130144780-130146079	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	0.99	1
NM_032826.5|SLC35B4|chr7|-	44.9	133978562	chr7:133974084-133979831	0.24	0.3	0.3	0.37	0.26	0.25	0.39	0.28	0.2	0.17	0.08	0.11	0.28	0.1	0.2	0.08	0.12	0.14	0.16	0.14	0.21	0.1	0.09	0.11
NM_001346142.1|AKR1B1|chr7|-	0.4	134127234	chr7:134127102-134127522	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	0.99	1	0.99	1	1
NM_001628.4|AKR1B1|chr7|-	0.4	134127234	chr7:134127108-134127522	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	0.99	1	1	1	1
NR_160299.1|AGBL3|chr7|+	12.4	134672791	chr7:134672640-134673115	0.45	0.91	0.68	0.96	0.54	0.92	0.6	0.96	0.26	0.59	0.49	0.79	0.51	0.75	0.7	0.69	0.43	0.84	NA	NA	0.49	0.58	0.31	0.76
NM_018295.5|TMEM140|chr7|+	0.4	134849473	chr7:134849170-134850537	0.98	0.91	0.94	0.81	0.97	NA	1	0.9	1	1	1	0.94	NA	0.91	NA	0.91	1	0.97	NA	NA	NA	0.98	NA	1
NM_001243753.2|CYREN|chr7|-	0.5	134851472	chr7:134850967-134851623	1	1	1	1	1	1	1	1	1	1	1	1	0.98	1	NA	1	1	1	1	1	NA	1	1	1
NM_001130929.2|STMP1|chr7|+	14.7	135359916	chr7:135358839-135361164	0.81	0.94	0.8	0.94	0.88	0.91	0.82	0.93	0.76	0.81	0.71	0.8	0.76	0.78	0.72	0.78	0.68	0.8	0.51	0.76	0.43	0.74	0.56	0.83
NM_001321742.2|TTC26|chr7|+	33.7	138845845	chr7:138845694-138846091	0.31	NA	0.36	NA	0.32	NA	0.21	NA	NA	0	0.31	0.27	NA	0.2	0.04	0.1	NA	0.2	NA	NA	0.45	0.08	0.11	0.24
NM_001287513.2|TTC26|chr7|+	1.2	138874543	chr7:138874067-138876732	0.63	0.72	0.72	NA	0.71	0.71	0.98	NA	0.57	0.88	0.79	0.51	0.61	0.71	0.67	0.69	NA	0.72	NA	NA	NA	0.57	0.46	0.68
NR_033999.1|LOC100129148|chr7|-	2.1	139102283	chr7:139102208-139102441	0	0.02	0.01	0	0.01	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0.01	0	0.01
NM_207113.3|SLC37A3|chr7|-	8.8	140035153	chr7:140033552-140035304	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_013446.4|MKRN1|chr7|-	8	140153690	chr7:140152833-140154529	1	0.99	1	0.98	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1
NR_117084.1|MKRN1|chr7|-	8	140153690	chr7:140152840-140154529	1	0.99	1	0.98	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1
NM_001291663.2|MKRN1|chr7|-	3.8	140156451	chr7:140156015-140156666	0.05	0.05	0.07	0.05	0.05	0.02	0.06	0.07	0.07	0.04	0.1	0.08	0.13	0.08	0.1	0.08	0.07	0.03	0.17	0.07	0.14	0.06	0.12	0.05
NR_024454.1|NDUFB2-AS1|chr7|-	10.1	140396469	chr7:140395136-140396620	0.02	0.14	0.1	NA	0.06	NA	0.1	NA	0.08	0.18	0.16	0.04	0.26	0.09	0.09	0.07	0.26	0.06	0.05	0.06	0.18	0.03	0.11	0.01
NM_016071.4|MRPS33|chr7|-	8.1	140705172	chr7:140702410-140706335	0.38	NA	0.44	NA	0.46	NA	NA	NA	NA	NA	NA	0.26	NA	0.17	NA	NA	0.23	NA	NA	0.12	0.3	NA	0.29	NA
NM_001080392.2|DENND11|chr7|-	51	141360655	chr7:141356528-141362651	1	1	NA	0.63	1	0.59	1	0.59	0.95	1	1	0.5	0.93	0.67	1	0.37	0.88	0.76	NA	0.5	NA	0.55	NA	0.54
NM_001280794.3|EPHB6|chr7|+	23.7	142568770	chr7:142568549-142568846	0.99	1	1	1	0.99	1	1	1	1	1	1	1	1	1	0.99	0.99	0.97	0.97	0.97	0.97	0.96	0.97	0.93	0.96
NR_104001.2|EPHB6|chr7|+	23.7	142568770	chr7:142568549-142568847	0.99	1	1	1	0.99	1	1	1	1	1	1	1	1	1	0.99	0.99	0.97	0.97	0.97	0.97	0.96	0.97	0.93	0.96
NM_001143681.2|GSTK1|chr7|+	0.2	142966036	chr7:142965881-142966208	0.97	0.91	0.94	0.97	1	0.86	0.98	1	1	0.88	0.91	1	0.88	0.93	1	0.93	0.94	0.98	1	0.92	0.96	0.98	0.89	1
NM_001371253.1|FAM131B|chr7|-	87.4	143053964	chr7:143050493-143054115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001010972.2|ZYX|chr7|+	0.5	143087828	chr7:143087671-143088204	1	1	1	1	0.99	1	1	0.97	1	1	1	1	1	1	1	1	0.99	1	1	1	0.99	1	1	0.99
NM_001206941.2|TCAF1|chr7|-	472.1	143550064	chr7:143548468-143551235	0.23	0.18	0.23	0.24	0.19	0.25	0.24	0.24	0.14	0.08	0.18	0.13	0.2	0.14	0.17	0.11	0.11	0.17	0.17	0.26	0.21	0.24	0.13	0.16
NM_001370660.1|CUL1|chr7|+	4.4	148498045	chr7:148497594-148498202	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1
NM_001371245.1|PDIA4|chr7|-	105.8	148700535	chr7:148700143-148701301	0.2	0.23	0.17	0.2	0.19	0.2	0.2	0.24	0.14	0.2	0.14	0.18	0.14	0.21	0.17	0.17	0.15	0.23	0.21	0.2	0.2	0.2	0.13	0.21
NM_004911.5|PDIA4|chr7|-	106.6	148700535	chr7:148700154-148701301	0.2	0.23	0.17	0.2	0.19	0.2	0.2	0.24	0.14	0.2	0.14	0.18	0.14	0.21	0.17	0.17	0.15	0.23	0.21	0.2	0.2	0.2	0.13	0.21
NM_152411.4|ZNF786|chr7|-	3.1	148769414	chr7:148766733-148769565	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001001661.3|ZNF425|chr7|-	0.8	148802499	chr7:148799876-148802658	1	1	1	1	1	0.99	1	1	1	1	1	1	0.96	1	0.99	1	1	1	1	1	0.94	1	1	0.99
NM_020781.4|ZNF398|chr7|+	113	148875891	chr7:148875740-148880134	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_012256.4|ZNF212|chr7|+	1.1	148950801	chr7:148950650-148952697	1	1	1	0.98	1	1	1	1	1	0.99	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1
NM_001195220.2|ZNF783|chr7|+	10.1	148978747	chr7:148978596-148982079	1	1	1	1	1	NA	1	NA	1	1	1	1	1	NA	1	1	1	1	NA	1	1	1	1	1
NR_144367.1|ZNF783|chr7|+	10.2	148978747	chr7:148978596-148982085	1	1	1	1	1	NA	1	NA	1	1	1	1	1	NA	1	1	1	1	NA	1	1	1	1	1
